FISCAL_YEAR,PRODUCT,CONVEYANCE,ORIGIN,COUNT_OF_LINES,SUM_OF_MSRP,duty_rate,product_complexity,hts_chapter,country_risk_score,country_avg_value,product_risk_score,conveyance_risk_score,value_per_line,log_msrp,log_lines,tariff_evasion_incentive,high_duty_product,complex_product,is_china,is_hong_kong,is_express,high_value_seizure
2023,Electronics,Commercial Air,Republic of the Philippines,1,159,2.1,High,85,138,1315450.7536231885,254,1047,159.0,5.075173815233827,0.6931471805599453,3.3390000000000004,0,1,0,0,0,0
2023,Electronics,Commercial Air,Taiwan,1,193280,2.1,High,85,88,319837.6818181818,254,1047,193280.0,12.171900367556262,0.6931471805599453,4058.88,0,1,0,0,0,0
2023,Electronics,Commercial Air,Unknown,5,27579,2.1,High,85,345,1934068.895652174,254,1047,5515.8,10.224846151347293,1.791759469228055,115.8318,0,1,0,0,0,0
2023,Electronics,Commercial Truck,People's Republic of China,1,2064,2.1,High,85,472,14582791.302966101,254,147,2064.0,7.632885505395133,0.6931471805599453,43.34400000000001,0,1,1,0,0,0
2023,Electronics,Commercial Truck,Unknown,3,8947,2.1,High,85,345,1934068.895652174,254,147,2982.3333333333335,9.09918532261002,1.3862943611198906,62.629000000000005,0,1,0,0,0,0
2023,Electronics,Commercial Vessel,Bolivarian Republic of Venezuela,1,14315,2.1,High,85,10,36477.4,254,300,14315.0,9.569133071885917,0.6931471805599453,300.615,0,1,0,0,0,0
2023,Electronics,Commercial Vessel,Hong Kong Special Administrative Region,2,60000,2.1,High,85,284,8244237.552816901,254,300,30000.0,11.002116507732017,1.0986122886681098,630.0,0,1,0,1,0,0
2023,Electronics,Commercial Vessel,Italian Republic,2,27972,2.1,High,85,60,34702.61666666667,254,300,13986.0,10.23899503822049,1.0986122886681098,293.706,0,1,0,0,0,0
2023,Electronics,Commercial Vessel,Malaysia,3,10210,2.1,High,85,96,637294.28125,254,300,3403.3333333333335,9.231220849555537,1.3862943611198906,71.47000000000001,0,1,0,0,0,0
2023,Electronics,Commercial Vessel,People's Republic of China,288,26750784,2.1,High,85,472,14582791.302966101,254,300,92884.66666666667,17.102074376670103,5.666426688112432,1950.5780000000002,0,1,1,0,0,1
2023,Electronics,Commercial Vessel,Socialist Republic of Vietnam,9,1395206,2.1,High,85,145,961935.6965517241,254,300,155022.88888888888,14.1485533493261,2.302585092994046,3255.4806666666664,0,1,0,0,0,1
2023,Electronics,Commercial Vessel,Taiwan,2,115250,2.1,High,85,88,319837.6818181818,254,300,57625.0,11.65486763761084,1.0986122886681098,1210.125,0,1,0,0,0,0
2023,Electronics,Express Consignment,Hong Kong Special Administrative Region,1207,29767297,2.1,High,85,284,8244237.552816901,254,1448,24662.21789560895,17.208920966360196,7.0967213784947605,517.9065758077879,0,1,0,1,1,1
2023,Electronics,Express Consignment,Italian Republic,8,26834,2.1,High,85,60,34702.61666666667,254,1448,3354.25,10.197462284610928,2.1972245773362196,70.43925,0,1,0,0,1,0
2023,Electronics,Express Consignment,Kingdom of Thailand,1,549,2.1,High,85,125,997476.0,254,1448,549.0,6.309918278226516,0.6931471805599453,11.529000000000002,0,1,0,0,1,0
2023,Electronics,Express Consignment,Malaysia,4,28218,2.1,High,85,96,637294.28125,254,1448,7054.5,10.247750788917848,1.6094379124341003,148.1445,0,1,0,0,1,0
2023,Electronics,Express Consignment,People's Republic of China,733,29738955,2.1,High,85,472,14582791.302966101,254,1448,40571.56207366985,17.207968394143396,6.598509028614515,852.0028035470668,0,1,1,0,1,1
2023,Electronics,Express Consignment,Republic of Austria,1,128952,2.1,High,85,7,32687.571428571428,254,1448,128952.0,11.767203275870198,0.6931471805599453,2707.992,0,1,0,0,1,0
2023,Electronics,Express Consignment,Republic of Colombia,1,130,2.1,High,85,105,596276.8285714285,254,1448,130.0,4.875197323201151,0.6931471805599453,2.73,0,1,0,0,1,0
2023,Electronics,Express Consignment,Republic of Ghana,1,17900,2.1,High,85,33,56003.84848484849,254,1448,17900.0,9.792611856190192,0.6931471805599453,375.9,0,1,0,0,1,0
2023,Electronics,Express Consignment,Republic of Honduras,1,6225,2.1,High,85,24,18814.041666666668,254,1448,6225.0,8.736489351001554,0.6931471805599453,130.725,0,1,0,0,1,0
2023,Electronics,Express Consignment,Republic of India,1,19800,2.1,High,85,86,2389196.6744186045,254,1448,19800.0,9.893487720457795,0.6931471805599453,415.8,0,1,0,0,1,0
2023,Electronics,Express Consignment,Republic of Korea,2,14344,2.1,High,85,102,2899829.205882353,254,1448,7172.0,9.571156728415465,1.0986122886681098,150.612,0,1,0,0,1,0
2023,Electronics,Express Consignment,Republic of Singapore,2,8097,2.1,High,85,111,623126.0360360361,254,1448,4048.5,8.999372396592106,1.0986122886681098,85.0185,0,1,0,0,1,0
2023,Electronics,Express Consignment,Republic of the Philippines,2,9195,2.1,High,85,138,1315450.7536231885,254,1448,4597.5,9.126523885883072,1.0986122886681098,96.5475,0,1,0,0,1,0
2023,Electronics,Express Consignment,United Arab Emirates,1,74824,2.1,High,85,120,509279.625,254,1448,74824.0,11.222907332720899,0.6931471805599453,1571.3039999999999,0,1,0,0,1,0
2023,Electronics,Express Consignment,United Kingdom of Great Britain and Northern Ireland,3,87732,2.1,High,85,86,127475.40697674418,254,1448,29244.0,11.382053390365874,1.3862943611198906,614.124,0,1,0,0,1,0
2023,Electronics,Express Consignment,United Mexican States,2,27598,2.1,High,85,170,261079.97647058824,254,1448,13799.0,10.225534819164793,1.0986122886681098,289.779,0,1,0,0,1,0
2023,Electronics,Express Consignment,United States of America,1,3000,2.1,High,85,197,300035.71065989847,254,1448,3000.0,8.006700845440367,0.6931471805599453,63.0,0,1,0,0,1,0
2023,Electronics,Express Consignment,Unknown,110,14831908,2.1,High,85,345,1934068.895652174,254,1448,134835.52727272728,16.512291431385997,4.709530201312334,2831.546072727273,0,1,0,0,1,1
